"","Date","BookToMarketRatio","TreasuryBillRate","LongTermYield","NetEquityExpansion","Inflation","LongTermRateOfReturns","StockVariance","ExcessReturn","DividendPriceRatio","DividendYield","EarningsPriceRatio","DividendPayoutRatio","TermSpread","DefaultYieldSpread","DefaultReturnSpread"
"341",1955-05-01,0.586075413077249,0.0145,0.0287,0.0254184956731161,0,0.0073,0.000745073396,0.00522466666666667,-3.18626258182303,-3.18758062603651,-2.49311859275075,-0.693143989072281,0.0142,0.0046,-0.0091
"342",1955-06-01,0.551641632327529,0.0141,0.0293,0.0253633962956134,0,-0.0076,0.00064574407,0.080125,-3.26322788709388,-3.18413931016803,-2.54492214689778,-0.7183057401961,0.0152,0.0046,0.0105
"343",1955-07-01,0.534506815498551,0.016,0.03,0.0247592619715678,0.00374531835205993,-0.0102,0.002082118547,0.0563126666666667,-3.31158312213434,-3.25266602604075,-2.58132139160228,-0.730261730532057,0.014,0.0046,0.0061
"344",1955-08-01,0.531846725618352,0.019,0.0301,0.0266694336793534,0,4e-04,0.00112040356,-0.00223133333333333,-3.29329470864134,-3.30113788610237,-2.55145329980904,-0.741841408832304,0.0111,0.0045,-0.0042
"345",1955-09-01,0.533624791050534,0.0207,0.0298,0.0256319315417317,0.00373134328358193,0.0073,0.005711080807,0.009561,-3.29423521825318,-3.28295127584237,-2.54118989611216,-0.753045322141014,0.0091,0.0046,3e-04
"346",1955-10-01,0.547409149866995,0.0223,0.0292,0.0250984869433685,0,0.0144,0.002679895779,-0.0323263333333333,-3.25919728533154,-3.29012638712229,-2.49296929721135,-0.766227988120194,0.0069,0.0049,-0.0066
"347",1955-11-01,0.515250589744651,0.0224,0.0295,0.0260317235821596,0,-0.0045,0.001929161819,0.0859583333333333,-3.32731120639849,-3.25511139007666,-2.54817153716461,-0.779139669233877,0.0071,0.0048,0.0015
"348",1955-12-01,0.50982800982801,0.0254,0.0295,0.0252429977163969,-0.00371747211895901,0.0037,0.000474703249,-0.00242566666666667,-3.32257642704623,-3.32323584019244,-2.53079864304466,-0.791777784001573,0.0041,0.0047,0.0026
"349",1956-01-01,0.528954412202065,0.0241,0.0292,0.026422754368105,0,0.0083,0.001179984062,-0.0370653333333333,-3.26726670773866,-3.30444904245367,-2.48719223556048,-0.780074472178172,0.0051,0.00490000000000001,0.0021
"350",1956-02-01,0.514835108032668,0.0232,0.0293,0.0241634451055947,0,-2e-04,0.001100147203,0.0394636666666667,-3.28356139401721,-3.24946208310515,-2.51490575185863,-0.768655642158586,0.0061,0.005,0.0028
"351",1956-03-01,0.531077199632662,0.0225,0.0303,0.0266934504816583,0,-0.0149,0.001008855821,0.068453,-3.33302993325137,-3.2660682365697,-2.57552488370862,-0.757505049542748,0.0078,0.005,3e-04
"352",1956-04-01,0.526621715880028,0.026,0.0311,0.0262120216544643,0.00373134328358193,-0.0113,0.000814899402,-0.00280366666666667,-3.31756966824286,-3.31963450482204,-2.58162335776861,-0.735946310474258,0.0051,0.00439999999999999,-0.000200000000000001
"353",1956-05-01,0.568559774082209,0.0261,0.0299,0.0293013196609193,0.00371747211895923,0.0225,0.001836428711,-0.060589,-3.23635626115769,-3.30434567950139,-2.52186443856143,-0.714491822596268,0.0038,0.0045,-0.0173
"354",1956-06-01,0.55156459271886,0.0249,0.0299,0.0256698587513754,0.00740740740740731,0.0027,0.001037044865,0.036835,-3.26172243513678,-3.22331042193607,-2.56857525457684,-0.693147180559945,0.005,0.005,-0.0045
"355",1956-07-01,0.524902956682953,0.0231,0.0313,0.0247520862527733,0.00735294117647056,-0.0209,0.000495576343,0.049502,-3.30458304058978,-3.25434416607615,-2.63186278256969,-0.672720258020087,0.0082,0.0052,0.0116
"356",1956-08-01,0.54139112421321,0.026,0.0325,0.0238107844375015,-0.00364963503649629,-0.0187,0.001235405334,-0.0349546666666667,-3.25844557809116,-3.29725333744487,-2.60627334598749,-0.652172232103677,0.0065,0.005,-0.0021
"357",1956-09-01,0.571909521304577,0.0284,0.0324,0.0293620968842239,0.00366300366300365,0.005,0.000787779448,-0.0463886666666667,-3.20464460494025,-3.25117464357794,-2.57314158749151,-0.631503017448739,0.004,0.0051,-0.0038
"358",1956-10-01,0.566427008440137,0.029,0.0329,0.029457758097439,0.00364963503649651,-0.0054,0.001642010459,0.00420233333333333,-3.22798365201734,-3.22292480476095,-2.58302999740878,-0.644953654608565,0.0039,0.0058,-0.0051
"359",1956-11-01,0.574897415288295,0.0299,0.0333,0.0270886949890801,0,-0.0057,0.001731517026,-0.00441266666666667,-3.23557955418715,-3.24660988883311,-2.57684974505049,-0.658729809136653,0.0034,0.0055,-0.0069
"360",1956-12-01,0.544176827437083,0.0321,0.0345,0.0261497541741298,0.00363636363636366,-0.0179,0.001020275623,0.033609,-3.28921644673529,-3.25455357594514,-2.6163892686663,-0.672827178068988,0.00240000000000001,0.0062,0.0097
"361",1957-01-01,0.567242674680691,0.0311,0.0328,0.0279927823087776,0,0.0346,0.00090194246,-0.0428296666666667,-3.24845134236572,-3.2911320734806,-2.57468555426629,-0.673765788099431,0.0017,0.00720000000000001,-0.0149
"362",1957-02-01,0.584994188799449,0.031,0.0328,0.0301738265039443,0.00362318840579712,0.0025,0.001056040188,-0.0275023333333333,-3.21718400668441,-3.25037641500634,-2.54247405644886,-0.674709950235556,0.0018,0.008,0.0068
"363",1957-03-01,0.599818874918388,0.0308,0.0331,0.0266004252410175,0.00361010830324915,-0.0024,0.000330297596,0.0212603333333333,-3.23856510560716,-3.21910701201522,-2.56291108249473,-0.675654023112428,0.0023,0.0077,0.0074
"364",1957-04-01,0.576098389837365,0.0307,0.0345,0.0274215289790923,0.00359712230215825,-0.0222,0.000302460063,0.0439796666666667,-3.27485178008495,-3.23856510560716,-2.59723791401408,-0.677613866070864,0.0038,0.00770000000000001,0.0156
"365",1957-05-01,0.564038579605094,0.0306,0.0348,0.0288493180718585,0.00358422939068115,-0.0023,0.000481771175,0.036184,-3.3111335313798,-3.27485178008495,-2.63156658550921,-0.679566945870588,0.0042,0.00779999999999999,-0.0052
"366",1957-06-01,0.565876532416698,0.0329,0.0361,0.0305288171916435,0.00357142857142856,-0.018,0.000578621411,-0.00344666666666667,-3.30986770842597,-3.3111335313798,-2.62834856586115,-0.681519142564826,0.0032,0.0072,-0.0142
"367",1957-07-01,0.560056634940612,0.0316,0.0365,0.0323470637066445,0.00711743772241991,-0.0041,0.000553867662,0.00711366666666667,-3.31543913766859,-3.30410400370922,-2.63482127160264,-0.680617866065956,0.00489999999999999,0.0074,-0.0069
"368",1957-08-01,0.588004542169918,0.0337,0.0367,0.0358546778491184,0,2e-04,0.002147248218,-0.0518063333333333,-3.2519236789144,-3.30970846295961,-2.57220048393803,-0.679723194976374,0.003,0.00720000000000001,-0.0011
"369",1957-09-01,0.624150777996932,0.0353,0.0364,0.0343626461922365,0,0.0076,0.001517109881,-0.0608206666666667,-3.18230614008648,-3.24622565779976,-2.50346535517777,-0.678840784908707,0.0011,0.0081,0.0019
"370",1957-10-01,0.645746417558498,0.0358,0.0369,0.0384094581499349,0,-0.005,0.004936011404,-0.0418173333333333,-3.14405486500505,-3.1766404025508,-2.48053143229839,-0.663523432706655,0.0011,0.00890000000000001,0.0073
"371",1957-11-01,0.633071776290928,0.0331,0.034,0.0409889797898201,0.00353356890459366,0.0533,0.003490078536,0.0209446666666667,-3.15436726582858,-3.13842104728679,-2.50622626605652,-0.648140999772062,0.000900000000000005,0.0101,-0.0222
"372",1957-12-01,0.653675778649958,0.0304,0.0323,0.0348725607014949,0,0.0307,0.001251402443,-0.0399553333333333,-3.10641380300606,-3.14876501027991,-2.47371667849446,-0.632697124511607,0.0019,0.0122,0.0378
"373",1958-01-01,0.632860761743923,0.0244,0.033,0.0298957315461772,0.00704225352112675,-0.0084,0.000784465273,0.0434846666666667,-3.15201872572558,-3.11014701977955,-2.53860191785935,-0.613416807866225,0.0086,0.0123,0.0183
"374",1958-02-01,0.647390434624477,0.0153,0.0325,0.027750809134558,0,0.01,0.000736247717,-0.015384,-3.13492116761597,-3.15576030312426,-2.54131533034479,-0.593605837271187,0.0172,0.0107,-0.0108
"375",1958-03-01,0.668591637568269,0.013,0.0321,0.0289348527603448,0.00699300699300687,0.0102,0.000519205729,0.0319686666666667,-3.1690681941026,-3.13868244671073,-2.59582494076817,-0.573243253334424,0.0191,0.0105,-0.0148
"376",1958-04-01,0.65524503136928,0.0113,0.0311,0.027018115802197,0.0034722222222221,0.0186,0.000746761583,0.0325693333333333,-3.20796070420911,-3.17662776927177,-2.64970311402657,-0.558257590182538,0.0198,0.0107,-0.0023
"377",1958-05-01,0.645558677328723,0.0091,0.0313,0.0228697241519622,0,1e-04,0.000433117202,0.0205546666666667,-3.23043592200884,-3.21558359826468,-2.68762071070174,-0.542815211307105,0.0222,0.0105,0.003
"378",1958-06-01,0.624660169810532,0.0083,0.0324,0.0214365644643809,0,-0.016,0.000438202446,0.0273063333333333,-3.26386024273823,-3.23811159086016,-2.73697922821894,-0.526881014519288,0.0241,0.0098,0.0122
"379",1958-07-01,0.593848784270065,0.0091,0.0343,0.0169342609238335,0.0034602076124568,-0.0278,0.000695624596,0.0432016666666667,-3.30606059722861,-3.26386024273823,-2.78488524890438,-0.521175348324233,0.0252,0.0086,0.0125
"380",1958-08-01,0.587263826357077,0.0169,0.0371,0.0150910751665563,-0.00344827586206897,-0.0435,0.000588961893,0.0165906666666667,-3.31785765841705,-3.30606059722861,-2.80241726557022,-0.515440392846827,0.0202,0.0082,0.0115
"381",1958-09-01,0.561371196602079,0.0244,0.038,0.0139843641498855,0,-0.0117,0.000510180329,0.0488036666666667,-3.36510087749394,-3.31785765841705,-2.85543199185577,-0.509668885638167,0.0136,0.0078,0.0021
"382",1958-10-01,0.549869297890357,0.0263,0.0374,0.0122794440303546,0,0.0138,0.000793475042,0.0251783333333333,-3.38630589009109,-3.36125279952251,-2.87932950036657,-0.506976389724526,0.0111,0.0081,-0.0031
"383",1958-11-01,0.535823198076992,0.0267,0.0368,0.0115354662363838,0.0034602076124568,0.012,0.001530210274,0.026392,-3.40463506727483,-3.38247829921121,-2.90032855599585,-0.504306511278974,0.0101,0.0078,-0.0015
"384",1958-12-01,0.511779319797824,0.0277,0.0382,0.0236867774464315,-0.00344827586206897,-0.0181,0.000712771885,0.0518036666666667,-3.45152830836053,-3.40081635670041,-2.94988759417161,-0.501640714188918,0.0105,0.00769999999999999,0.0123
"385",1959-01-01,0.502895817900195,0.0282,0.0408,0.0277360716595099,0.0034602076124568,-0.008,0.000584867984,0.003981,-3.45152056801826,-3.44772412487939,-2.92862690343715,-0.522893664581111,0.0126,0.0075,0.0052
"386",1959-02-01,0.494946147473074,0.027,0.0402,0.0278981971699634,-0.00344827586206897,0.0117,0.000844733454,0.004461,-3.44755601603811,-3.44773647259369,-2.90399856258126,-0.543557453456852,0.0132,0.0075,9e-04
"387",1959-03-01,0.51686028153097,0.028,0.0403,0.0249843432401006,0,0.0017,0.000491508124,0.00101866666666667,-3.44432180829591,-3.44378053629352,-2.8806786286905,-0.563643179605405,0.0123,0.0072,-0.01
"388",1959-04-01,0.498597194388778,0.0295,0.0414,0.0243606624654215,0.0034602076124568,-0.0117,0.000492550209,0.0375956666666667,-3.47860811583809,-3.44056052920116,-2.88811592600858,-0.590492189829513,0.0119,0.0063,-0.0055
"389",1959-05-01,0.483076779695242,0.0284,0.0417,0.0258871650050494,0,-5e-04,0.000427800914,0.0212643333333333,-3.4936165501956,-3.4748665384394,-2.87716790268324,-0.616448647512362,0.0133,0.0059,-0.0109
"390",1959-06-01,0.483219390926041,0.0321,0.0419,0.0268819089237902,0.00344827586206908,0.001,0.000915070174,-0.0034,-3.48629818233492,-3.48988333342212,-2.84473837056546,-0.641559811769452,0.0098,0.0058,0.0034
"391",1959-07-01,0.460822664770033,0.032,0.0417,0.0271416019177414,0.00343642611683848,0.006,0.000487796016,0.0318373333333333,-3.51687368909558,-3.48257885064893,-2.8760963493388,-0.640777339756781,0.0097,0.0061,0.0029
"392",1959-08-01,0.468084465917129,0.0338,0.0423,0.0281463085224103,0,-0.0041,0.001069699344,-0.0138926666666667,-3.49802061831157,-3.51317368487449,-2.85801502299679,-0.640005595314777,0.0085,0.0066,-0.0027
"393",1959-09-01,0.49233789260385,0.0404,0.0429,0.0305280003183507,0.0034246575342467,-0.0057,0.001709844755,-0.0465486666666667,-3.44761694021725,-3.49432872879357,-2.80838352431714,-0.639233415900114,0.0025,0.0066,-0.0031
"394",1959-10-01,0.480977420352614,0.0405,0.0421,0.0310204520014193,0.00341296928327628,0.015,0.00061818331,0.009199,-3.45512755854505,-3.44393863062724,-2.8234663208872,-0.631661237657843,0.0016,0.0071,0.0015
"395",1959-11-01,0.471798294851179,0.0415,0.0432,0.0297227646681418,0,-0.0119,0.000499692726,0.0150276666666667,-3.46459448171646,-3.45146821380225,-2.84050461725095,-0.624089864465511,0.0017,0.00700000000000001,0.0254
"396",1959-12-01,0.457783796514366,0.0449,0.0447,0.0228570553223985,0,-0.0159,0.000307543518,0.0258853333333333,-3.48819357942304,-3.46094301447367,-2.87167962488401,-0.616513954539029,-0.000200000000000006,0.007,0.0063
"397",1960-01-01,0.499502104012078,0.0435,0.0441,0.0221163901695378,-0.00340136054421758,0.0112,0.000919417533,-0.073558,-3.39420694641379,-3.46835345149069,-2.79753311980711,-0.596673826606674,0.000600000000000003,0.00729999999999999,-5e-04
"398",1960-02-01,0.493556782835016,0.0396,0.0429,0.0240377240191662,0.00341296928327628,0.0204,0.001150245768,0.010622,-3.38388727154947,-3.37475805751468,-2.8066623338419,-0.577224937707569,0.0033,0.0078,-0.0076
"399",1960-03-01,0.549798083004914,0.0331,0.0411,0.0255929238315098,0,0.0282,0.000969146461,-0.0153243333333333,-3.35080800128354,-3.36480428215902,-2.79266605296642,-0.558141948317122,0.008,0.0076,-0.0091
"400",1960-04-01,0.563403689546286,0.0323,0.0426,0.0255762256874399,0.0034013605442178,-0.017,0.000645166099,-0.0188046666666667,-3.33140953473088,-3.34909297793183,-2.78784670954692,-0.54356282518396,0.0103,0.0075,0.0148
"401",1960-05-01,0.541966426858513,0.0329,0.0417,0.0244132048814157,0,0.0152,0.000423558503,0.0307713333333333,-3.35619113882294,-3.3296923106585,-2.82738030873073,-0.528810830092215,0.0088,0.0082,-0.0173
"402",1960-06-01,0.52917486185258,0.0246,0.0407,0.0242684801763381,0.00338983050847452,0.0173,0.000498947882,0.019752,-3.373817400646,-3.35448198674661,-2.85991957784304,-0.513897822802961,0.0161,0.0081,-0.0032
"403",1960-07-01,0.549673276798599,0.023,0.0382,0.0257768851784284,0,0.0368,0.000977819962,-0.0248646666666667,-3.34873381212641,-3.373817400646,-2.83381503827874,-0.514918773847673,0.0152,0.0081,-0.0111
"404",1960-08-01,0.541542197159699,0.023,0.039,0.0251944421075425,0,-0.0067,0.000636967373,0.0295503333333333,-3.37451989452806,-3.34873381212641,-2.85857814968766,-0.515941744840404,0.016,0.00799999999999999,0.0184
"405",1960-09-01,0.584341710621574,0.0248,0.0387,0.0283116490027957,0,0.0075,0.001771622224,-0.0607796666666667,-3.31222604324432,-3.37451989452806,-2.79526543091081,-0.516960612333507,0.0139,0.0076,-0.0138
"406",1960-10-01,0.584120201254394,0.023,0.0391,0.0278229962045447,0.0067567567567568,-0.0028,0.001048714569,-0.00299566666666667,-3.30979408993644,-3.31222604324432,-2.79283347760293,-0.516960612333507,0.0161,0.00810000000000001,0.0036
"407",1960-11-01,0.567630019088443,0.0237,0.0399,0.026033660892272,0,-0.0066,0.000668674035,0.044106,-3.349274109303,-3.30979408993644,-2.83231349696949,-0.516960612333507,0.0162,0.0077,-4e-04
"408",1960-12-01,0.550422965139879,0.0225,0.038,0.0227602716706201,0,0.0279,0.000450305539,0.046964,-3.39450839351136,-3.349274109303,-2.87754778117785,-0.516960612333507,0.0155,0.0075,-0.0175
"409",1961-01-01,0.522986732489972,0.0224,0.0404,0.0218148379411994,0,-0.0107,0.000741123684,0.0624533333333333,-3.45745946699111,-3.39621754558769,-2.95730875034851,-0.500150716642597,0.018,0.00779999999999999,0.0255
"410",1961-02-01,0.512022716288062,0.0242,0.0392,0.0194191029153992,0,0.02,0.00054745936,0.0308213333333333,-3.48569158089964,-3.45917669106348,-3.00269212448905,-0.482999456410588,0.015,0.00800000000000001,0.001
"411",1961-03-01,0.546679869352526,0.0239,0.0397,0.0227371098964503,0,-0.0037,0.000414941168,0.0273533333333333,-3.51262194796997,-3.48740660425136,-3.04713883013555,-0.465483117834417,0.0158,0.008,8e-04
"412",1961-04-01,0.545004493819157,0.0229,0.0391,0.0232588287217892,0,0.0115,0.001009208626,0.00262866666666667,-3.51645719083933,-3.51262194796997,-3.05746760231546,-0.458989588523869,0.0162,0.0076,-0.0231
"413",1961-05-01,0.530916293489494,0.0229,0.0397,0.0224659596469946,0,-0.0046,0.000404343422,0.0216446666666667,-3.53541582343772,-3.51645719083933,-3.08296220589363,-0.452453617544084,0.0168,0.0074,0.0095
"414",1961-06-01,0.540821100649161,0.0233,0.0404,0.022483022107258,0,-0.0075,0.000548907404,-0.0286146666666667,-3.5061454411376,-3.53541582343772,-3.06027079469156,-0.445874646446041,0.0171,0.00700000000000001,-5e-04
